a cyclic digraph,acyclic digraph
expand AE,autoencoder
expand AFE,advanced front-end
expand AGI,Artificial General Intelligence
expand AIR,acoustic impulse response
expand ALSD,average localized synchrony detection
expand ANN,artificial neuarl networks
expand AUC,are under curve
expand BFE,Bayesian Feature Enhancement
expand BFE,Bayesian Prediction Classification
expand BO,Bayesian Optimization
expand CAT,cluster adaptive clustering
expand CDF,cumulative distribution function
expand CD-DNN-HMM,Context-Dependent Deep Neural Network Hidden Markov Model
expand CMLLR,constrained maximum likelihood linear regression
expand CNF,conjunctive normal form
expand CNN,convolutional neural network
expand CTF,convolutive transfer function
expand CV,cross-validation
expand DAG,Directed Acyclic Graph
expand DBN,deep belief net
expand DBSCAN,density-based spatial clustering of applications with noise
expand DCMM,deep convolutional neural network
expand DNF,disjunctive normal form
expand DNN,Deep Neural Networks
expand DTNN,deep tensor neural networks 
expand E2E learning,end-to-end learning
expand ECRAM,Electro-Chemical Random Access Memory
expand ELKI,Environment for Developing KDD-Applications Supported by Index-Structures
expand EM, Expectation Maximization
expand ERM,empirical risk minimization
expand FNN,Feedforward Neural Network
expand FT,Feature Transform
expand GADF,Gramian Angular Difference Field
expand GAN,generative adversial network
expand GMM, Gaussian Mixture Model
expand GMM,Gaussian Mixture Model
expand GMM-HHMs,Gaussian Mixture Model Hidden Markov Model
expand GPT-3,Generative Pre-trained Transformer-3
expand GPT-4,Generative Pre-trained Transformer-4
expand GPU,Graphics Processing Unit
expand GRU,gated recurrent unit
expand HEQ, histogram equalization
expand HMM,Hidden Markov Model
expand IDF,Inverse Document Frequency
expand Kullback-Leibler Divergence
expand LCMV,linearly constrained minimum variance
expand LLM,Large Language Model
expand LMS,least mean square
expand LOF,local outlier factor
expand LSTM,long short-term memory
expand MAP,maximum a posterior
expand MAPLR,maximum a posterior linear regression
expand MC,Monte Carlo
expand MCE,Minimum Classification Error
expand MCTS,Monte Carlo tree search
expand ML,machine learning
expand MLC,multiple-levels per cell
expand MLNN,message passing neural networks
expand MLOSS,Machine Learning Open Source Software
expand MLP,mutlilayer perceptron
expand MLLR,Maximum Likelihood Linear Regression
expand MMSE,minimum mean square error
expand MSE,mean square error
expand MWE,mean word error
expand NLP,natural language processing
expand NP,nondeterministic polynomial time
expand NTM,Neural Turing Machine
expand NVM,non-volatile memory
expand OCR,optical character recognition
expand OED,Optimal Experimental Design
expand PAC,Probably Approximately Correct
expand PDP,Parallel Distributed Processing
expand RBF,Radial Basis Function
expand RBM,Restricted Boltzmann Machine
expand ReLU,rectified linear unit
expand RL,Reinforcement Learning
expand RMSprop,root mean square propagation
expand RNN,recurrent neural network
expand ROC curve,receiver operating characteristic curve
expand RWM,Randomized-Weighted-Majority
expand SFOM,self-organizing feature map
expand SGD,stochastic gradient descent
expand SL,supervised learning
expand SNN,spiking neural network
expand SOM,self-organizing map
expand SRM,structural risk minimization
expand SVM,support vector machine
expand TF,term frequency
expand TOC curve,total operating characteristic curve
expand UAT,Universal Approximation Theorem
expand VAE,variational autoencoders
expand VC-dimension,Vapnik-Chervonenkis dimension).
expand WSL,Windows Subsystem for Linux
url for Conference on Neural Information Processing Systems,\url{https://neurips.cc/}
url for MLOSS,\url{https://mloss.org/about/}
url for whisper,\url{https://github.com/openai/whisper}
expand OCR,Optical Character Recognition
expand DSL,Domain Specific Language
expand AM,Acoustic Model
expand ANN,Artificial Neural Network
expand ASR,Automatic Speech Recognition
expand BP,Back Propagation
expand CD-GMMs,Context Dependent Gaussian Mixture Models
expand CER,Character Error Rate
expand CMVN,Cepstral Mean and Variance Normalization
expand CNN,Convolutional Neural Network
expand CRFs,Conditional Random Fields
expand CTC,Connectionist Temporal Classification
expand CVCVCV,Consonant-Vowel Consonant-Vowel Consonant-Vowel
expand DBN,Deep Belief Network
expand DCT,Discrete Cosine Transform
expand DFT,Discrete Fourier Transform
expand DNN,Deep Neural Network
expand DP,Dynamic Programming
expand DTW,Dynamic Time Warping
expand EM,Expectation Maximization
expand FFT,Fast Fourier Transform
expand FLMs,Factored Language Models
expand GIS,Geographical Information System
expand GMM,Gaussian Mixture Model
expand GPUs,Graphics Processing Units
expand HMM Hidden Markov Model
expand HM-SVMs,hidden Markov support vector machines
expand HVS,Hidden Vector State
expand ICF,International Classification of functionality Disability and Health
expand ICT,Information and Communication Technol
expand IDE,Integrated/Interactive Development Environment
expand IRM,Information Request Module
expand IT,Information Technology
expand KRM,Knowledge Representation Module
expand LDA,Linear Discriminant Analysis
expand LM,Language Model
expand LPC,Linear Predictive Coding
expand LVCSR,Large Vocabulary Continuous Speech Recognition
expand MFCC,Mel-frequency Cepstral Coefficient
expand MLLR,Maximum Likelihood Linear Regression
expand MLLT,maximum likelihood linear transformation
expand MLPs,Multilayer Perceptrons
expand MMSE.Minimum Mean Square Error
expand MS,Minimum Statistics
expand MSE,Mean Square Error
expand NCCF,Normalized Cross-Correlation Function
expand OCNNs,Object-Based Convolutional Neural Networks
expand OOV,Out-Of-Vocabulary
expand PBL,Problem-Based Learning
expand PDF,Probability Distribution Function
expand POS,Part-Of-Speech
expand SA,Speaker Adaptation
expand SGD,Stochastic Gradient Descent
expand SoC,System-on-Chip
expand SRM,Speech Recognition Module
expand SS,Spectral Subtraction
expand STSA,Short Time Spectral Amplitude
expand SVD,Singular Value Decomposition
expand TDD,Time Division Duplex
expand TTS,Text to Speech
expand VHRI,Very High-Resolution Imagery
expand VoWSN,Voice Wireless Sensor Networks
expand WC,World Wide Web Consortium
expand WER,Word Error Rate
expand WSN,Wireless Sensor Network
expand WSR,Window Speech Recognition
